Timestamp,What's your level of interest for the following areas of Data Science? [Data Visualization],What's your level of interest for the following areas of Data Science? [Machine Learning],What's your level of interest for the following areas of Data Science? [Data Analysis / Statistics],What's your level of interest for the following areas of Data Science? [Big Data (Spark / Hadoop)],What's your level of interest for the following areas of Data Science? [Data Journalism],What's your level of interest for the following areas of Data Science? [Deep Learning]
2017/10/18 6:25:37 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 6:26:37 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 6:26:51 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 6:27:01 PM MDT,Somewhat interested,Very interested,,Somewhat interested,Somewhat interested,Very interested
2017/10/18 6:27:04 PM MDT,Very interested,Somewhat interested,Very interested,Not interested,Not interested,Not interested
2017/10/18 6:27:06 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 6:27:51 PM MDT,Very interested,Very interested,,Very interested,Somewhat interested,Very interested
2017/10/18 6:27:52 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested
2017/10/18 6:28:51 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 6:29:52 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 6:30:22 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 6:31:20 PM MDT,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested,Not interested
2017/10/18 6:32:03 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested
2017/10/18 6:34:27 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 6:34:37 PM MDT,Somewhat interested,Somewhat interested,,Somewhat interested,Not interested,Somewhat interested
2017/10/18 6:34:52 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,Not interested
2017/10/18 6:34:59 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 6:36:05 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 6:36:17 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 6:36:29 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 6:38:37 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,
2017/10/18 6:41:38 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 6:42:20 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 6:44:42 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 6:45:18 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 6:49:38 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested
2017/10/18 6:50:22 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 6:50:30 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 6:50:57 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 6:51:54 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/18 6:54:01 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 6:54:42 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 6:55:41 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 6:56:06 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 6:56:21 PM MDT,Not interested,Very interested,Somewhat interested,Not interested,Not interested,Not interested
2017/10/18 6:56:57 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 6:57:35 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/18 6:57:40 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 6:58:26 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 7:02:24 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 7:03:43 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 7:04:41 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 7:06:37 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 7:06:59 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 7:07:53 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 7:07:58 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 7:09:28 PM MDT,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested,Very interested
2017/10/18 7:10:22 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:11:00 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 7:11:47 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:12:58 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 7:13:13 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 7:13:24 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:13:34 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 7:15:02 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 7:15:03 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 7:15:24 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 7:15:27 PM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Very interested
2017/10/18 7:15:29 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:16:03 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:16:38 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 7:18:29 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:18:55 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:19:02 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 7:19:18 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 7:19:46 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 7:21:17 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 7:22:12 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 7:23:50 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 7:25:27 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:26:27 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 7:27:13 PM MDT,,,Very interested,,,
2017/10/18 7:28:04 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 7:28:06 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,,Somewhat interested
2017/10/18 7:29:01 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 7:29:14 PM MDT,Very interested,Not interested,Very interested,Somewhat interested,Not interested,Not interested
2017/10/18 7:30:09 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:30:18 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 7:31:09 PM MDT,Very interested,Somewhat interested,Somewhat interested,Not interested,Not interested,Somewhat interested
2017/10/18 7:31:10 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:31:58 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/18 7:32:15 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 7:32:35 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/18 7:32:46 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 7:32:51 PM MDT,Not interested,Somewhat interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 7:33:18 PM MDT,Not interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/18 7:34:06 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:34:48 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 7:38:42 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/18 7:38:54 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 7:40:56 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:41:09 PM MDT,Not interested,Very interested,Not interested,Very interested,Not interested,Very interested
2017/10/18 7:42:24 PM MDT,Very interested,Very interested,Very interested,,,Very interested
2017/10/18 7:43:01 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:43:54 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:44:19 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 7:44:24 PM MDT,Not interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 7:46:19 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 7:48:24 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
